second,qps,success_rate,p50_ms,p95_ms,p99_ms,backends
87,241,1.0,129.17471770197153,148.51307589560747,155.68463411182165,qwen15b-npu3=6;qwen15b-npu4=56;qwen15b-npu5=60;qwen15b-npu6=60;qwen15b-npu7=59
88,249,1.0,128.77182522788644,154.53892573714256,176.44604202359915,qwen15b-npu3=6;qwen15b-npu4=64;qwen15b-npu5=59;qwen15b-npu6=59;qwen15b-npu7=61
89,252,1.0,127.51487689092755,145.89435886591673,152.26909099146724,qwen15b-npu3=5;qwen15b-npu4=60;qwen15b-npu5=65;qwen15b-npu6=61;qwen15b-npu7=61
90,203,0.9950738916256158,129.33533871546388,145.65859828144312,149.94921581819654,qwen15b-npu3=7;qwen15b-npu4=65;qwen15b-npu5=1;qwen15b-npu6=64;qwen15b-npu7=66
91,197,1.0,131.79869623854756,143.13042117282748,146.99152624234557,qwen15b-npu3=6;qwen15b-npu4=63;qwen15b-npu6=65;qwen15b-npu7=63
92,197,1.0,134.2775421217084,145.64165705814958,150.61025088652968,qwen15b-npu3=8;qwen15b-npu4=66;qwen15b-npu6=61;qwen15b-npu7=62
93,202,1.0,130.6732576340437,146.40109241008759,154.41149519756436,qwen15b-npu3=6;qwen15b-npu4=63;qwen15b-npu6=67;qwen15b-npu7=66
94,195,1.0,135.5674802325666,148.20404490455985,174.23573695123196,qwen15b-npu3=7;qwen15b-npu4=63;qwen15b-npu6=62;qwen15b-npu7=63
95,196,1.0,131.53219409286976,148.83133908733726,154.5871365815401,qwen15b-npu3=6;qwen15b-npu4=65;qwen15b-npu6=62;qwen15b-npu7=63
96,196,1.0,132.59350089356303,151.1405142955482,161.20883962139487,qwen15b-npu3=6;qwen15b-npu4=62;qwen15b-npu6=65;qwen15b-npu7=63
97,197,1.0,136.7393690161407,152.3614120669663,156.036376953125,qwen15b-npu3=2;qwen15b-npu4=65;qwen15b-npu6=64;qwen15b-npu7=66
98,197,1.0,131.47404324263334,143.5854840092361,149.9309348873794,qwen15b-npu3=11;qwen15b-npu4=63;qwen15b-npu6=62;qwen15b-npu7=61
