second,qps,success_rate,p50_ms,p95_ms,p99_ms,backends
124,241,1.0,131.40457309782505,148.43384828418493,154.89088091999292,qwen15b-npu3=60;qwen15b-npu4=61;qwen15b-npu6=61;qwen15b-npu7=59
125,240,1.0,132.89567409083247,152.27887406945229,158.5424761287868,qwen15b-npu3=59;qwen15b-npu4=61;qwen15b-npu6=60;qwen15b-npu7=60
126,243,1.0,131.23531313613057,146.03348216041923,149.1915131919086,qwen15b-npu3=61;qwen15b-npu4=61;qwen15b-npu6=60;qwen15b-npu7=61
127,244,1.0,132.99277424812317,148.15158629789948,153.14640989527106,qwen15b-npu3=61;qwen15b-npu4=61;qwen15b-npu6=61;qwen15b-npu7=61
128,246,1.0,132.85954436287284,148.97364098578691,155.71112604811788,qwen15b-npu3=63;qwen15b-npu4=61;qwen15b-npu6=62;qwen15b-npu7=60
129,237,1.0,132.76902306824923,149.36923375353217,152.50481525436044,qwen15b-npu3=58;qwen15b-npu4=60;qwen15b-npu6=59;qwen15b-npu7=60
130,240,1.0,135.87447302415967,148.74007971957326,156.41006082296371,qwen15b-npu3=58;qwen15b-npu4=60;qwen15b-npu6=61;qwen15b-npu7=61
131,237,1.0,134.30650299414992,152.7563869021833,158.27092435210943,qwen15b-npu3=62;qwen15b-npu4=58;qwen15b-npu6=58;qwen15b-npu7=59
132,252,1.0,129.1619879193604,143.87755701318383,148.75489007681608,qwen15b-npu3=63;qwen15b-npu4=63;qwen15b-npu6=64;qwen15b-npu7=62
133,236,1.0,135.97506377846003,152.49124495312572,158.8641181588173,qwen15b-npu3=58;qwen15b-npu4=61;qwen15b-npu6=58;qwen15b-npu7=59
134,245,1.0,131.6242851316929,150.2590198069811,156.65488271042705,qwen15b-npu3=61;qwen15b-npu4=59;qwen15b-npu6=63;qwen15b-npu7=62
135,239,1.0,136.1509459093213,152.97164814546704,156.68892301619053,qwen15b-npu3=60;qwen15b-npu4=61;qwen15b-npu6=58;qwen15b-npu7=60
136,238,1.0,136.2599260173738,154.65043997392058,161.6329960525036,qwen15b-npu3=62;qwen15b-npu4=58;qwen15b-npu6=61;qwen15b-npu7=57
137,236,1.0,136.82466000318527,149.61578603833914,158.4753761999309,qwen15b-npu3=57;qwen15b-npu4=62;qwen15b-npu6=57;qwen15b-npu7=60
138,239,1.0,135.5772209353745,152.31006359681487,163.58700906857848,qwen15b-npu3=60;qwen15b-npu4=58;qwen15b-npu6=60;qwen15b-npu7=61
139,247,1.0,130.85607904940844,151.65229002013803,160.40911804884672,qwen15b-npu3=61;qwen15b-npu4=63;qwen15b-npu6=65;qwen15b-npu7=58
140,243,1.0,131.62648491561413,148.34184804931283,154.63427919894457,qwen15b-npu3=60;qwen15b-npu4=62;qwen15b-npu6=57;qwen15b-npu7=64
141,242,1.0,133.78049014136195,146.13180188462138,151.1797970160842,qwen15b-npu3=60;qwen15b-npu4=60;qwen15b-npu6=62;qwen15b-npu7=60
142,245,1.0,133.5898581892252,151.36855794116855,157.20895677804947,qwen15b-npu3=62;qwen15b-npu4=61;qwen15b-npu6=60;qwen15b-npu7=62
143,240,1.0,134.72929503768682,154.58720875903964,163.7288210913539,qwen15b-npu3=59;qwen15b-npu4=60;qwen15b-npu6=61;qwen15b-npu7=60
144,243,1.0,132.11027812212706,148.5240780748427,153.22786010801792,qwen15b-npu3=61;qwen15b-npu4=60;qwen15b-npu6=61;qwen15b-npu7=61
145,239,1.0,136.86414994299412,149.75350676104426,154.25050724297762,qwen15b-npu3=60;qwen15b-npu4=61;qwen15b-npu6=59;qwen15b-npu7=59
146,237,1.0,134.5679243095219,152.62414701282978,159.68121401965618,qwen15b-npu3=59;qwen15b-npu4=60;qwen15b-npu6=59;qwen15b-npu7=59
147,242,1.0,131.90003670752048,147.02641824260354,152.5462162680924,qwen15b-npu3=61;qwen15b-npu4=60;qwen15b-npu6=60;qwen15b-npu7=61
148,242,1.0,135.37248084321618,157.34732802957296,165.19638104364276,qwen15b-npu3=58;qwen15b-npu4=61;qwen15b-npu6=62;qwen15b-npu7=61
149,242,1.0,135.4584014043212,147.08781894296408,150.4500019364059,qwen15b-npu3=61;qwen15b-npu4=61;qwen15b-npu6=60;qwen15b-npu7=60
150,238,1.0,136.67683908715844,155.5951563641429,163.8865522108972,qwen15b-npu3=61;qwen15b-npu4=58;qwen15b-npu6=60;qwen15b-npu7=59
151,243,1.0,132.4940612539649,151.65976993739605,155.17700323835015,qwen15b-npu3=62;qwen15b-npu4=60;qwen15b-npu6=59;qwen15b-npu7=62
152,234,1.0,135.95793396234512,152.91020832955837,161.756606772542,qwen15b-npu3=56;qwen15b-npu4=61;qwen15b-npu6=60;qwen15b-npu7=57
153,239,1.0,139.61336808279157,157.21259685233235,161.75868827849627,qwen15b-npu3=56;qwen15b-npu4=60;qwen15b-npu6=62;qwen15b-npu7=61
154,235,1.0,136.16590620949864,151.56006906181574,155.34657379612327,qwen15b-npu3=64;qwen15b-npu4=59;qwen15b-npu6=54;qwen15b-npu7=58
155,246,1.0,134.72527591511607,150.28649009764194,161.1128030344844,qwen15b-npu3=61;qwen15b-npu4=62;qwen15b-npu6=63;qwen15b-npu7=60
156,236,1.0,135.34564012661576,151.93129098042846,158.38976483792067,qwen15b-npu3=58;qwen15b-npu4=61;qwen15b-npu6=57;qwen15b-npu7=60
157,240,1.0,135.21297881379724,153.65429315716028,161.00610280409455,qwen15b-npu3=61;qwen15b-npu4=58;qwen15b-npu6=62;qwen15b-npu7=59
158,234,1.0,136.6521893069148,151.9313920289278,158.1172328442335,qwen15b-npu3=56;qwen15b-npu4=60;qwen15b-npu6=59;qwen15b-npu7=59
159,243,1.0,134.75013570860028,151.45931765437126,159.99288531020284,qwen15b-npu3=62;qwen15b-npu4=61;qwen15b-npu6=60;qwen15b-npu7=60
160,237,1.0,135.46879030764103,153.51008204743266,162.79418487101793,qwen15b-npu3=59;qwen15b-npu4=59;qwen15b-npu6=60;qwen15b-npu7=59
161,245,1.0,135.59462130069733,151.21237700805068,156.79867379367352,qwen15b-npu3=62;qwen15b-npu4=62;qwen15b-npu6=59;qwen15b-npu7=62
162,239,1.0,132.71967321634293,155.56501457467675,161.9173693470657,qwen15b-npu3=58;qwen15b-npu4=59;qwen15b-npu6=62;qwen15b-npu7=60
163,236,1.0,135.42287983000278,155.43070528656244,164.7306769154966,qwen15b-npu3=60;qwen15b-npu4=61;qwen15b-npu6=57;qwen15b-npu7=58
164,244,1.0,132.9140430316329,158.37143501266837,170.57894682511687,qwen15b-npu3=60;qwen15b-npu4=60;qwen15b-npu6=62;qwen15b-npu7=62
